code,name,name_en,full_name,full_name_en,code_name,province_code,administrative_unit_id
00004,Ba Đình,Ba inh,Phường Ba Đình,Ba inh Ward,ba_inh,01,8
00008,Ngọc Hà,Ngoc Ha,Phường Ngọc Hà,Ngoc Ha Ward,ngoc_ha,01,8
00025,Giảng Võ,Giang Vo,Phường Giảng Võ,Giang Vo Ward,giang_vo,01,8
00070,"
Hoàn Kiếm","
Hoan Kiem","Phường 
Hoàn Kiếm",Hoan Kiem Ward,hoan_kiem,01,8
00082,Cửa Nam,Cua Nam,Phường Cửa Nam,Cua Nam Ward,cua_nam,01,8
00091,Phú Thượng,Phu Thuong,Phường Phú Thượng,Phu Thuong Ward,phu_thuong,01,8
00097,Hồng Hà,Hong Ha,Phường Hồng Hà,Hong Ha Ward,hong_ha,01,8
00103,Tây Hồ,Tay Ho,Phường Tây Hồ,Tay Ho Ward,tay_ho,01,8
00118,Bồ Đề,Bo e,Phường Bồ Đề,Bo e Ward,bo_e,01,8
00127,Việt Hưng,Viet Hung,Phường Việt Hưng,Viet Hung Ward,viet_hung,01,8
00136,Phúc Lợi,Phuc Loi,Phường Phúc Lợi,Phuc Loi Ward,phuc_loi,01,8
00145,Long Biên,Long Bien,Phường Long Biên,Long Bien Ward,long_bien,01,8
00160,Nghĩa Đô,Nghia o,Phường Nghĩa Đô,Nghia o Ward,nghia_o,01,8
00166,Cầu Giấy,Cau Giay,Phường Cầu Giấy,Cau Giay Ward,cau_giay,01,8
00175,Yên Hòa,Yen Hoa,Phường Yên Hòa,Yen Hoa Ward,yen_hoa,01,8
00190,Ô Chợ Dừa,O Cho Dua,Phường Ô Chợ Dừa,O Cho Dua Ward,o_cho_dua,01,8
00199,Láng,Lang,Phường Láng,Lang Ward,lang,01,8
00226,Văn Miếu - Quốc Tử Giám,Van Mieu - Quoc Tu Giam,Phường Văn Miếu - Quốc Tử Giám,Van Mieu - Quoc Tu Giam Ward,van_mieu_quoc_tu_giam,01,8
00229,Kim Liên,Kim Lien,Phường Kim Liên,Kim Lien Ward,kim_lien,01,8
00235,Đống Đa,ong a,Phường Đống Đa,ong a Ward,ong_a,01,8
00256,Hai Bà Trưng,Hai Ba Trung,Phường Hai Bà Trưng,Hai Ba Trung Ward,hai_ba_trung,01,8
00283,Vĩnh Tuy,Vinh Tuy,Phường Vĩnh Tuy,Vinh Tuy Ward,vinh_tuy,01,8
00292,Bạch Mai,Bach Mai,Phường Bạch Mai,Bach Mai Ward,bach_mai,01,8
00301,Vĩnh Hưng,Vinh Hung,Phường Vĩnh Hưng,Vinh Hung Ward,vinh_hung,01,8
00316,Định Công,inh Cong,Phường Định Công,inh Cong Ward,inh_cong,01,8
00322,Tương Mai,Tuong Mai,Phường Tương Mai,Tuong Mai Ward,tuong_mai,01,8
00328,Lĩnh Nam,Linh Nam,Phường Lĩnh Nam,Linh Nam Ward,linh_nam,01,8
00331,Hoàng Mai,Hoang Mai,Phường Hoàng Mai,Hoang Mai Ward,hoang_mai,01,8
00337,Hoàng Liệt,Hoang Liet,Phường Hoàng Liệt,Hoang Liet Ward,hoang_liet,01,8
00340,Yên Sở,Yen So,Phường Yên Sở,Yen So Ward,yen_so,01,8
00352,Phương Liệt,Phuong Liet,Phường Phương Liệt,Phuong Liet Ward,phuong_liet,01,8
